,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
PM2.5,1.0,0.5580793326319003,0.4263754886654943,0.34434071444286757,0.3807247104779792,0.1892265361047449,0.08666287082336636,0.11951164515085534,0.15532964507696867,0.779648537792636
PM10,0.5580793326319003,1.0,0.4310061561907447,0.35916507801195097,0.415132914253034,0.22302534008707695,0.047517116639470544,0.1761883560707195,0.20359528254746223,0.6058547756864807
NO,0.4263754886654943,0.4310061561907447,1.0,0.4624016628397746,0.7462228506081011,0.15639393705646457,0.21163986040381688,0.16619013031852095,0.014218001537647205,0.4226238358848166
NO2,0.34434071444286757,0.35916507801195097,0.4624016628397746,1.0,0.5741895156093643,0.1659836287144025,0.35323728699250023,0.38275764857898836,0.2854481113923618,0.3927805033173025
NOx,0.3807247104779792,0.415132914253034,0.7462228506081011,0.5741895156093643,1.0,0.12805102243465524,0.22509766168108652,0.20835491777917609,0.08306343569282272,0.4156444648055296
NH3,0.1892265361047449,0.22302534008707695,0.15639393705646457,0.1659836287144025,0.12805102243465524,1.0,0.020028600914220544,-0.02100493900081311,0.07868780992383528,0.17316344847612586
CO,0.08666287082336636,0.047517116639470544,0.21163986040381688,0.35323728699250023,0.22509766168108652,0.020028600914220544,1.0,0.4725842828504826,0.03978671378658356,0.18972193896428877
SO2,0.11951164515085534,0.1761883560707195,0.16619013031852095,0.38275764857898836,0.20835491777917609,-0.02100493900081311,0.4725842828504826,1.0,0.15661019697338807,0.21320875737731879
O3,0.15532964507696867,0.20359528254746223,0.014218001537647205,0.2854481113923618,0.08306343569282272,0.07868780992383528,0.03978671378658356,0.15661019697338807,1.0,0.21804510239631086
AQI,0.779648537792636,0.6058547756864807,0.4226238358848166,0.3927805033173025,0.4156444648055296,0.17316344847612586,0.18972193896428877,0.21320875737731879,0.21804510239631086,1.0
